,date,item_nbr,id,store_nbr,unit_sales,onpromotion,store_city,store_state,store_type,store_cluster,holiday_locale_name,holiday_transferred,is_special_day,is_during_holiday_7days,holiday_type_Additional,holiday_type_Bridge,holiday_type_Event,holiday_type_Holiday,holiday_type_Transfer,holiday_locale_Local,holiday_locale_National,holiday_locale_Regional,item_class,item_perishable,item_family_id,item_perishable_w,oil_price,date_year,date_month,date_season,date_dayMonth,date_dayWeek,date_week,is_working_day,is_weekend,date_month_wage_payment,lag_7,lag_4,lag_3,lag_2,lag_1,lag_3_median,lag_5_median
count,1229823,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823,1229823,1229823.0,1229823.0,1229823,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0,1229823.0
unique,726,100.0,,18.0,,3.0,1,1,,10.0,22,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,37.0,,9.0,,,2.0,12.0,4.0,31.0,7.0,53.0,,,2.0,,,,,,,
top,2015-05-02 00:00:00,314384.0,,45.0,,0.0,Quito,Pichincha,,14.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1040.0,,5.0,,,2015.0,5.0,3.0,22.0,5.0,36.0,,,0.0,,,,,,,
freq,1780,12660.0,,72024.0,,1058169.0,1229823,1229823,,215429.0,1052566,1058169.0,1052566.0,649098.0,1202802.0,1228170.0,1196489.0,1119548.0,1228169.0,1155077.0,,1219614.0,246503.0,,761862.0,,,630615.0,105763.0,312983.0,40782.0,177637.0,24000.0,,,931161.0,,,,,,,
first,2014-01-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last,2015-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,39360637.68149644,,24.199113625456683,,,,2.558449467931564,,,,,,,,,,,,0.07505307674356392,,,0.16968132812607994,,1.04242033203152,70.39386034819645,,,,,,,0.7122732295623029,0.2877267704376971,,24.240742252706276,24.205874734291037,24.211289019110872,24.193965470762876,24.23733705037229,24.211150683567215,24.223203547166264
std,,,14149125.876696937,,40.63803864543814,,,,1.3194573127949296,,,,,,,,,,,,0.26347707464250714,,,0.37535275351647296,,0.09383818837911824,24.686693426697026,,,,,,,0.45270326114713766,0.45270326114713766,,40.44485980330632,40.70350768395521,40.72889943276269,40.685054447392595,40.4917241749145,35.3794984654544,33.777719393084126
min,,,16324587.0,,0.42,,,,1.0,,,,,,,,,,,,0.0,,,0.0,,1.0,34.55,,,,,,,0.0,0.0,,-75.0,-276.0,-276.0,-75.0,-75.0,-13.666666666666666,-66.0
25%,,,26656410.0,,7.0,,,,1.0,,,,,,,,,,,,0.0,,,0.0,,1.0,47.65,,,,,,,0.0,0.0,,7.0,7.0,7.0,7.0,7.0,7.666666666666667,8.0
50%,,,39149530.0,,14.0,,,,3.0,,,,,,,,,,,,0.0,,,0.0,,1.0,59.62,,,,,,,1.0,0.0,,14.0,14.0,14.0,14.0,14.0,14.333333333333334,14.6
75%,,,50837238.0,,28.0,,,,4.0,,,,,,,,,,,,0.0,,,0.0,,1.0,97.57,,,,,,,1.0,1.0,,28.0,28.0,28.0,28.0,28.0,28.0,28.0
max,,,66450185.0,,5103.0,,,,4.0,,,,,,,,,,,,1.0,,,1.0,,1.25,107.95,,,,,,,1.0,1.0,,5103.0,5103.0,5103.0,5103.0,5103.0,1735.0,1113.8
